2026-09-20 14:48:05.726 | INFO     | logging_setup:setup_logging:89 | Logging initialized. Log file: C:\Users\Tyebgat\Desktop\desktop media\Coding\NOUS INTELLIGENCE\nous-intelligence\Data\logs\app.log
2026-09-20 14:48:06.740 | INFO     | __main__:<module>:1052 | Nous Intelligence GUI -> http://localhost:5050
2026-09-20 14:48:06.743 | DEBUG    | logging:callHandlers:1706 | Using proactor: IocpProactor
2026-09-20 14:48:08.789 | INFO     | __main__:chat_socket:402 | [WS] Client connected.
2026-09-20 14:48:29.066 | INFO     | __main__:_initialize:839 | [SERVER] Starting AI Services...
2026-09-20 14:48:29.066 | INFO     | __main__:_init_chatbot:846 | [SERVER] Initializing ChatBot (local)...
2026-09-20 14:48:29.070 | INFO     | __main__:_init_llm:868 | [SERVER] Starting local LLM server...
2026-09-20 14:48:29.071 | INFO     | run_local_server:launch_server:58 | Checking local AI server
2026-09-20 14:48:29.132 | INFO     | __main__:_init_tts:888 | [SERVER] Initializing TTS (omnivoice)...
2026-09-20 14:48:29.132 | INFO     | __main__:_init_vts:915 | [SERVER] Connecting to VTube Studio...
2026-09-20 14:48:29.133 | SUCCESS  | VtubeS_Plugin:__init__:25 | Plugin starto!
2026-09-20 14:48:29.133 | INFO     | VtubeS_Plugin:auth_connect:34 | Trying to connect to Vtube Studio API...
2026-09-20 14:48:29.135 | SUCCESS  | TTS:get_cable_device_id:169 | Found VB Cable Input: [16] CABLE Input (VB-Audio Virtual Cable)
2026-09-20 14:48:29.136 | SUCCESS  | TTS:initialize:64 | VB Cable device set to id: 16
2026-09-20 14:48:29.146 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:29.147 | SUCCESS  | __main__:_init_chatbot:855 | [SERVER] ChatBot initialized successfully.
2026-09-20 14:48:31.166 | DEBUG    | logging:callHandlers:1706 | connect_tcp.failed exception=ConnectTimeout(TimeoutError())
2026-09-20 14:48:31.185 | INFO     | run_local_server:launch_server:79 | Detected model: C:\Users\Tyebgat\Desktop\desktop media\Coding\NOUS INTELLIGENCE\nous-intelligence\models/llama/Llama-3.2-3B-Instruct-Q4_K_M.gguf
2026-09-20 14:48:31.185 | INFO     | run_local_server:launch_server:80 | Running on device: CPU
2026-09-20 14:48:31.186 | INFO     | run_local_server:launch_server:81 | Loading model into ram...
2026-09-20 14:48:31.187 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:31.462 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204C8FDE7D0>
2026-09-20 14:48:31.463 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:31.465 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:31.466 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:31.466 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:31.467 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:31.469 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:31.471 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:31.472 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:31.472 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:31.474 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:31.476 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:31.724 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:31.975 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204CA0CE790>
2026-09-20 14:48:31.976 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:31.976 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:31.977 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:31.978 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:31.978 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:31.980 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:31.981 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:31.982 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:31.983 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:31.983 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:31.986 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:32.257 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:32.525 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204C8740D50>
2026-09-20 14:48:32.525 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:32.526 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
2026-09-20 14:48:32.527 | DEBUG    | logging:callHandlers:1706 | send_request_body.started request=<Request [b'GET']>
2026-09-20 14:48:32.528 | DEBUG    | logging:callHandlers:1706 | send_request_body.complete
2026-09-20 14:48:32.529 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.started request=<Request [b'GET']>
2026-09-20 14:48:32.531 | DEBUG    | logging:callHandlers:1706 | receive_response_headers.complete return_value=(b'HTTP/1.1', 503, b'Service Unavailable', [(b'Server', b'llama.cpp'), (b'Access-Control-Allow-Origin', b''), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'75'), (b'Connection', b'close')])
2026-09-20 14:48:32.532 | INFO     | logging:callHandlers:1706 | HTTP Request: GET http://localhost:8080/health "HTTP/1.1 503 Service Unavailable"
2026-09-20 14:48:32.532 | DEBUG    | logging:callHandlers:1706 | receive_response_body.started request=<Request [b'GET']>
2026-09-20 14:48:32.533 | DEBUG    | logging:callHandlers:1706 | receive_response_body.complete
2026-09-20 14:48:32.535 | DEBUG    | logging:callHandlers:1706 | response_closed.started
2026-09-20 14:48:32.536 | DEBUG    | logging:callHandlers:1706 | response_closed.complete
2026-09-20 14:48:32.794 | DEBUG    | logging:callHandlers:1706 | connect_tcp.started host='localhost' port=8080 local_address=None timeout=2 socket_options=None
2026-09-20 14:48:33.065 | DEBUG    | logging:callHandlers:1706 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000204C8FB6A50>
2026-09-20 14:48:33.065 | DEBUG    | logging:callHandlers:1706 | send_request_headers.started request=<Request [b'GET']>
2026-09-20 14:48:33.066 | DEBUG    | logging:callHandlers:1706 | send_request_headers.complete
